t_seconds,v_wx,v_wy,v_wz
54,-0.6617587345841814,-3.291939575576993,-0.667372229344266
55,-0.6619415596892707,-3.2918833490161514,-0.6668019841280173
56,-0.66212438479436,-3.29182712245531,-0.6662317389117685
57,-0.6623072098994494,-3.2917708958944685,-0.6656614936955197
58,-0.6624900350045386,-3.291714669333627,-0.6650912484792709
59,-0.6626728601096279,-3.2916584427727855,-0.6645210032630222
60,-0.6628556852147172,-3.291602216211944,-0.6639507580467734
61,-0.6630385103198064,-3.2915459896511026,-0.6633805128305247
62,-0.6632213354248957,-3.291489763090261,-0.6628102676142759
63,-0.6634041605299851,-3.2914335365294196,-0.6622400223980272
64,-0.6635869856350743,-3.291377309968578,-0.6616697771817783
65,-0.6637698107401636,-3.2913210834077367,-0.6610995319655296
66,-0.6639526358452529,-3.291264856846895,-0.6605292867492808
67,-0.6641354609503421,-3.2912086302860537,-0.6599590415330321
68,-0.6643182860554315,-3.2911524037252122,-0.6593887963167833
69,-0.6645011111605208,-3.2910961771643708,-0.6588185511005344
70,-0.6646839362656101,-3.2910399506035293,-0.6582483058842857
71,-0.6648667613706993,-3.290983724042688,-0.6576780606680369
72,-0.6650495864757886,-3.2909274974818463,-0.6571078154517882
73,-0.665232411580878,-3.290871270921005,-0.6565375702355394
74,-0.6654152366859672,-3.2908150443601634,-0.6559673250192907
75,-0.6655980617910565,-3.290758817799322,-0.6553970798030418
76,-0.6657808868961458,-3.2907025912384804,-0.6548268345867931
77,-0.665963712001235,-3.290646364677639,-0.6542565893705443
78,-0.6661465371063243,-3.2905901381167975,-0.6536863441542956
79,-0.6663293622114137,-3.290533911555956,-0.6531160989380468
80,-0.666512187316503,-3.2904776849951145,-0.6525458537217981
81,-0.6666950124215922,-3.290421458434273,-0.6519756085055493
82,-0.6668778375266815,-3.2903652318734316,-0.6514053632893005
83,-0.6670606626317708,-3.29030900531259,-0.6508351180730517
84,-0.6672434877368602,-3.2902527787517486,-0.650264872856803
85,-0.6674263128419494,-3.290196552190907,-0.6496946276405542
86,-0.6676091379470387,-3.2901403256300656,-0.6491243824243055
87,-0.667791963052128,-3.290084099069224,-0.6485541372080567
88,-0.6679747881572172,-3.2900278725083827,-0.647983891991808
89,-0.6681576132623065,-3.289971645947541,-0.6474136467755591
90,-0.6683404383673959,-3.2899154193866997,-0.6468434015593104
91,-0.6685232634724851,-3.2898591928258583,-0.6462731563430616
92,-0.6687060885775744,-3.289802966265017,-0.6457029111268129
93,-0.6688889136826637,-3.2897467397041753,-0.6451326659105641
94,-0.669071738787753,-3.289690513143334,-0.6445624206943154
95,-0.6692545638928423,-3.2896342865824924,-0.6439921754780665
96,-0.6694373889979316,-3.289578060021651,-0.6434219302618178
97,-0.6696202141030209,-3.2895218334608094,-0.642851685045569
98,-0.6698030392081101,-3.289465606899968,-0.6422814398293203
99,-0.6699858643131994,-3.2894093803391264,-0.6417111946130715
100,-0.6701686894182888,-3.2893531537782854,-0.6411409493968228
101,-0.670351514523378,-3.289296927217444,-0.6405707041805739
102,-0.6705343396284673,-3.2892407006566025,-0.6400004589643251
103,-0.6707171647335566,-3.289184474095761,-0.6394302137480764
104,-0.6708999898386458,-3.2891282475349195,-0.6388599685318277
